candidate_accession	representative_accession
XP_053549441.1	XP_053549441.1
XP_053556794.1	XP_053556794.1
XP_053557336.1	XP_053557336.1
XP_053557337.1	XP_053557337.1
XP_053557338.1	XP_053557338.1
XP_053558405.1	XP_053558405.1
XP_053569869.1	XP_053569869.1
XP_053570495.1	XP_053570495.1
XP_053575932.1	XP_053575932.1
XP_053575933.1	XP_053575933.1
XP_053587774.1	XP_053587774.1
XP_053591837.1	XP_053591837.1
XP_053592076.1	XP_053592076.1
XP_053593920.1	XP_053593920.1
XP_053593921.1	XP_053593921.1
XP_053608172.1	XP_053608172.1
XP_053608176.1	XP_053608176.1
XP_053608421.1	XP_053608421.1
XP_053608505.1	XP_053608505.1
XP_053611914.1	XP_053611914.1
XP_053618550.1	XP_053618550.1
XP_053646402.2	XP_053646402.2
XP_053657507.2	XP_053657507.2
XP_053658447.1	XP_053658447.1
XP_053659361.1	XP_053659361.1
XP_053660103.1	XP_053660103.1
XP_053663613.1	XP_053663613.1
XP_053669250.1	XP_053669250.1
XP_053670634.1	XP_053670634.1
XP_053672015.1	XP_053672015.1
XP_053674543.1	XP_053674543.1
XP_053679709.1	XP_053679709.1
XP_053681455.1	XP_053681455.1
XP_053684892.1	XP_053684892.1
XP_053694306.1	XP_053694306.1
XP_053695202.1	XP_053695202.1
XP_053696653.1	XP_053696653.1
XP_053697857.1	XP_053697857.1
XP_053709221.1	XP_053709221.1
XP_053709230.1	XP_053709230.1
XP_053709240.1	XP_053709240.1
XP_053715803.1	XP_053715803.1
XP_053719787.1	XP_053719787.1
XP_053719788.1	XP_053719788.1
XP_053721988.1	XP_053721988.1
XP_053725937.1	XP_053725937.1
XP_053727410.1	XP_053727410.1
XP_053727412.1	XP_053727412.1
XP_053734413.1	XP_053734413.1
XP_053743238.1	XP_053743238.1
XP_053743239.1	XP_053743239.1
XP_053762843.1	XP_053762843.1
XP_053762844.1	XP_053762844.1
XP_053763819.1	XP_053763819.1
XP_053769769.1	XP_053769769.1
XP_053769771.1	XP_053769771.1
XP_053771269.1	XP_053771269.1
XP_053771270.1	XP_053771270.1
XP_053771271.1	XP_053771271.1
XP_053776065.1	XP_053776065.1
XP_053776066.1	XP_053776066.1
XP_053776067.1	XP_053776067.1
XP_053776068.1	XP_053776068.1
XP_053776069.1	XP_053776069.1
XP_053776071.1	XP_053776071.1
XP_053779575.1	XP_053779575.1
XP_053787304.1	XP_053787304.1
XP_053787306.1	XP_053787306.1
XP_053799544.1	XP_053799544.1
XP_053805849.1	XP_053805849.1
XP_053805851.1	XP_053805851.1
XP_053805852.1	XP_053805852.1
XP_053805853.1	XP_053805853.1
XP_053809003.1	XP_053809003.1
XP_053813492.1	XP_053813492.1
XP_053813501.1	XP_053813501.1
XP_053824167.1	XP_053824167.1
XP_053825083.1	XP_053825083.1
XP_053825084.1	XP_053825084.1
XP_053840693.1	XP_053840693.1
XP_053840695.1	XP_053840695.1
XP_053840696.1	XP_053840696.1
XP_053840697.1	XP_053840697.1
XP_053843500.1	XP_053843500.1
XP_053846969.1	XP_053846969.1
XP_053846978.1	XP_053846978.1
XP_053858921.1	XP_053858921.1
XP_053858923.1	XP_053858923.1
XP_053858924.1	XP_053858924.1
XP_053858925.1	XP_053858925.1
XP_053875165.1	XP_053875165.1
XP_053875166.1	XP_053875166.1
XP_053875167.1	XP_053875167.1
XP_053875168.1	XP_053875168.1
XP_053875169.1	XP_053875169.1
XP_053875170.1	XP_053875170.1
XP_053875171.1	XP_053875171.1
XP_053876787.1	XP_053876787.1
XP_053887631.1	XP_053887631.1
XP_053887633.1	XP_053887633.1
XP_053887634.1	XP_053887634.1
XP_053891779.1	XP_053891779.1
XP_053891780.1	XP_053891780.1
XP_053893090.1	XP_053893090.1
XP_053893092.1	XP_053893092.1
XP_053904793.1	XP_053904793.1
XP_053904794.1	XP_053904794.1
XP_053909861.1	XP_053909861.1
XP_053909862.1	XP_053909862.1
XP_053910077.1	XP_053910077.1
XP_053910078.1	XP_053910078.1
XP_053910079.1	XP_053910079.1
XP_053910080.1	XP_053910080.1
XP_053910081.1	XP_053910081.1
XP_053910083.1	XP_053910083.1
XP_053911582.1	XP_053911582.1
XP_053914148.1	XP_053914148.1
XP_053914149.1	XP_053914149.1
XP_053914150.1	XP_053914150.1
XP_053914968.1	XP_053914968.1
XP_053928355.1	XP_053928355.1
XP_053928359.1	XP_053928359.1
XP_053935054.1	XP_053935054.1
XP_053948280.1	XP_053948280.1
XP_053948285.1	XP_053948285.1
XP_053949617.1	XP_053949617.1
XP_053951294.1	XP_053951294.1
XP_053954637.1	XP_053954637.1
XP_053969668.1	XP_053969668.1
XP_053974972.1	XP_053974972.1
XP_053974982.1	XP_053974982.1
XP_053974990.1	XP_053974990.1
XP_053974998.1	XP_053974998.1
XP_053975009.1	XP_053975009.1
XP_053978339.1	XP_053978339.1
XP_053978340.1	XP_053978340.1
XP_053978341.1	XP_053978341.1
XP_053982172.1	XP_053982172.1
XP_053982690.1	XP_053982690.1
XP_053982694.1	XP_053982694.1
XP_053982695.1	XP_053982695.1
XP_053986805.1	XP_053986805.1
XP_053992321.1	XP_053992321.1
XP_053992449.1	XP_053992449.1
XP_053992450.1	XP_053992450.1
XP_053998379.1	XP_053998379.1
XP_053998383.1	XP_053998383.1
XP_053998384.1	XP_053998384.1
XP_054004212.1	XP_054004212.1
XP_054004213.1	XP_054004213.1
XP_054004214.1	XP_054004214.1
XP_054004215.1	XP_054004215.1
XP_054004216.1	XP_054004216.1
XP_054010758.1	XP_054010758.1
XP_054014320.1	XP_054014320.1
XP_054014321.1	XP_054014321.1
XP_054020141.1	XP_054020141.1
XP_054020142.1	XP_054020142.1
XP_054020143.1	XP_054020143.1
XP_054020144.1	XP_054020144.1
XP_054020929.1	XP_054020929.1
XP_054026133.1	XP_054026133.1
XP_054027386.1	XP_054027386.1
XP_054034946.1	XP_054034946.1
XP_054039922.1	XP_054039922.1
XP_054040669.1	XP_054040669.1
XP_054040670.1	XP_054040670.1
XP_054040671.1	XP_054040671.1
XP_054040672.1	XP_054040672.1
XP_054041480.1	XP_054041480.1
XP_054041481.1	XP_054041481.1
XP_054041482.1	XP_054041482.1
XP_054041483.1	XP_054041483.1
XP_054041484.1	XP_054041484.1
XP_054041485.1	XP_054041485.1
XP_054041486.1	XP_054041486.1
XP_054041488.1	XP_054041488.1
XP_054045906.1	XP_054045906.1
XP_054045907.1	XP_054045907.1
XP_054045908.1	XP_054045908.1
XP_054045909.1	XP_054045909.1
XP_054045910.1	XP_054045910.1
XP_054045912.1	XP_054045912.1
XP_054045913.1	XP_054045913.1
XP_054045914.1	XP_054045914.1
XP_054045915.1	XP_054045915.1
XP_054045916.1	XP_054045916.1
XP_054047320.1	XP_054047320.1
XP_054054647.1	XP_054054647.1
XP_054066436.1	XP_054066436.1
XP_054066442.1	XP_054066442.1
XP_054066443.1	XP_054066443.1
XP_054085769.1	XP_054085769.1
XP_054087823.1	XP_054087823.1
XP_054108125.1	XP_054108125.1
XP_054108127.1	XP_054108127.1
XP_054111128.1	XP_054111128.1
XP_054114560.1	XP_054114560.1
XP_054114561.1	XP_054114561.1
XP_054117534.1	XP_054117534.1
XP_054129555.1	XP_054129555.1
XP_054138144.1	XP_054138144.1
XP_054139889.1	XP_054139889.1
XP_054139907.1	XP_054139907.1
XP_054140965.1	XP_054140965.1
XP_054140966.1	XP_054140966.1
XP_054140967.1	XP_054140967.1
XP_054140968.1	XP_054140968.1
XP_054141565.1	XP_054141565.1
XP_054152329.1	XP_054152329.1
XP_054153059.1	XP_054153059.1
XP_054153443.1	XP_054153443.1
XP_054155634.1	XP_054155634.1
XP_054157377.1	XP_054157377.1
XP_054163353.1	XP_054163353.1
XP_054167000.1	XP_054167000.1
XP_054168918.1	XP_054168918.1
XP_054191489.1	XP_054191489.1
XP_054191495.1	XP_054191495.1
XP_054191503.1	XP_054191503.1
XP_054191507.1	XP_054191507.1
XP_054191513.1	XP_054191513.1
XP_054191523.1	XP_054191523.1
XP_054207474.1	XP_054207474.1
XP_054219782.1	XP_054219782.1
XP_054237661.1	XP_054237661.1
XP_054240594.1	XP_054240594.1
XP_054245558.1	XP_054245558.1
XP_054245559.1	XP_054245559.1
XP_054246072.1	XP_054246072.1
XP_054253202.1	XP_054253202.1
XP_054253226.1	XP_054253226.1
XP_054253227.1	XP_054253227.1
XP_054261488.1	XP_054261488.1
XP_054261880.1	XP_054261880.1
XP_054262101.1	XP_054262101.1
XP_054264432.1	XP_054264432.1
XP_054264530.1	XP_054264530.1
XP_054271458.1	XP_054271458.1
XP_054277163.1	XP_054277163.1
XP_054281331.1	XP_054281331.1
XP_054288914.1	XP_054288914.1
XP_054296169.1	XP_054296169.1
XP_054309016.2	XP_054309016.2
XP_054309017.2	XP_054309017.2
XP_054309018.2	XP_054309018.2
XP_054309019.2	XP_054309019.2
XP_054309020.2	XP_054309020.2
XP_054309021.2	XP_054309021.2
XP_054343705.1	XP_054343705.1
XP_054343728.1	XP_054343728.1
XP_054343737.1	XP_054343737.1
XP_054343755.1	XP_054343755.1
XP_054344248.1	XP_054344248.1
XP_054344249.1	XP_054344249.1
XP_054345718.1	XP_054345718.1
XP_054345721.1	XP_054345721.1
XP_054356627.1	XP_054356627.1
XP_054359117.1	XP_054359117.1
XP_054359118.1	XP_054359118.1
XP_054360848.1	XP_054360848.1
XP_054360850.1	XP_054360850.1
XP_054368580.1	XP_054368580.1
XP_054373898.1	XP_054373898.1
XP_054374253.1	XP_054374253.1
XP_054376126.2	XP_054376126.2
XP_054376130.2	XP_054376130.2
XP_054376131.2	XP_054376131.2
XP_054376134.2	XP_054376134.2
XP_054376135.2	XP_054376135.2
XP_054376136.2	XP_054376136.2
XP_054378107.1	XP_054378107.1
XP_054389857.1	XP_054389857.1
XP_054389858.1	XP_054389858.1
XP_054389859.1	XP_054389859.1
XP_054389860.1	XP_054389860.1
XP_054410713.1	XP_054410713.1
XP_054410722.1	XP_054410722.1
XP_054410729.1	XP_054410729.1
XP_054410732.1	XP_054410732.1
XP_054410733.1	XP_054410733.1
XP_054410737.1	XP_054410737.1
XP_054410739.1	XP_054410739.1
XP_054410741.1	XP_054410741.1
XP_054411370.1	XP_054411370.1
XP_054411641.2	XP_054411641.2
XP_054411646.2	XP_054411646.2
XP_054426294.1	XP_054426294.1
XP_054427007.1	XP_054427007.1
XP_054429087.1	XP_054429087.1
XP_054429097.1	XP_054429097.1
XP_054429106.1	XP_054429106.1
XP_054429114.1	XP_054429114.1
XP_054429124.1	XP_054429124.1
XP_054429133.1	XP_054429133.1
XP_054429141.1	XP_054429141.1
XP_054429151.1	XP_054429151.1
XP_054434318.1	XP_054434318.1
XP_054434319.1	XP_054434319.1
XP_054434504.1	XP_054434504.1
XP_054434506.1	XP_054434506.1
XP_054434507.1	XP_054434507.1
XP_054434508.1	XP_054434508.1
XP_054438912.1	XP_054438912.1
XP_054438915.1	XP_054438915.1
XP_054448083.1	XP_054448083.1
XP_054454909.1	XP_054454909.1
XP_054458363.1	XP_054458363.1
XP_054462320.1	XP_054462320.1
XP_054466579.1	XP_054466579.1
XP_054467122.1	XP_054467122.1
XP_054467123.1	XP_054467123.1
XP_054474057.1	XP_054474057.1
XP_054477670.1	XP_054477670.1
XP_054478870.1	XP_054478870.1
XP_054490692.2	XP_054490692.2
XP_054494748.2	XP_054494748.2
XP_054494751.2	XP_054494751.2
XP_054496738.1	XP_054496738.1
XP_054507637.1	XP_054507637.1
XP_054507638.1	XP_054507638.1
XP_054507641.1	XP_054507641.1
XP_054508361.2	XP_054508361.2
XP_054517089.1	XP_054517089.1
XP_054522939.1	XP_054522939.1
XP_054522941.1	XP_054522941.1
XP_054522964.1	XP_054522964.1
XP_054522967.1	XP_054522967.1
XP_054522971.1	XP_054522971.1
XP_054522975.1	XP_054522975.1
XP_054522991.1	XP_054522991.1
XP_054522995.1	XP_054522995.1
XP_054522996.1	XP_054522996.1
XP_054522997.1	XP_054522997.1
XP_054522999.1	XP_054522999.1
XP_054523002.1	XP_054523002.1
XP_054523007.1	XP_054523007.1
XP_054523009.1	XP_054523009.1
XP_054523014.1	XP_054523014.1
XP_054523024.1	XP_054523024.1
XP_054543789.1	XP_054543789.1
XP_054543790.1	XP_054543790.1
XP_054545620.1	XP_054545620.1
XP_054545627.1	XP_054545627.1
XP_054545628.1	XP_054545628.1
XP_054547423.1	XP_054547423.1
XP_054547427.1	XP_054547427.1
XP_054547428.1	XP_054547428.1
XP_054547429.1	XP_054547429.1
XP_054566575.1	XP_054566575.1
XP_054571100.1	XP_054571100.1
XP_054571227.1	XP_054571227.1
XP_054571228.1	XP_054571228.1
XP_054571229.1	XP_054571229.1
XP_054572572.1	XP_054572572.1
XP_054572573.1	XP_054572573.1
XP_054582673.1	XP_054582673.1
XP_054582675.1	XP_054582675.1
XP_054582676.1	XP_054582676.1
XP_054588587.1	XP_054588587.1
XP_054619204.1	XP_054619204.1
XP_054619205.1	XP_054619205.1
XP_054622192.1	XP_054622192.1
XP_054624760.1	XP_054624760.1
XP_054626822.1	XP_054626822.1
XP_054629566.1	XP_054629566.1
XP_054630538.1	XP_054630538.1
XP_054638940.1	XP_054638940.1
XP_054638941.1	XP_054638941.1
XP_054644990.1	XP_054644990.1
XP_054664286.1	XP_054664286.1
XP_054664832.1	XP_054664832.1
XP_054664833.1	XP_054664833.1
XP_054664834.1	XP_054664834.1
XP_054664835.1	XP_054664835.1
XP_054665545.1	XP_054665545.1
XP_054665550.1	XP_054665550.1
XP_054665551.1	XP_054665551.1
XP_054665554.1	XP_054665554.1
XP_054665556.1	XP_054665556.1
XP_054665557.1	XP_054665557.1
XP_054670368.1	XP_054670368.1
XP_054673153.1	XP_054673153.1
XP_054673154.1	XP_054673154.1
XP_054673155.1	XP_054673155.1
XP_054673156.1	XP_054673156.1
XP_054673158.1	XP_054673158.1
XP_054689943.1	XP_054689943.1
XP_054689946.1	XP_054689946.1
XP_054689947.1	XP_054689947.1
XP_054689948.1	XP_054689948.1
XP_054696400.1	XP_054696400.1
XP_054696401.1	XP_054696401.1
XP_054706334.1	XP_054706334.1
XP_054706873.1	XP_054706873.1
XP_054709823.1	XP_054709823.1
XP_054709824.1	XP_054709824.1
XP_054710871.1	XP_054710871.1
XP_054712673.1	XP_054712673.1
XP_054712674.1	XP_054712674.1
XP_054712755.1	XP_054712755.1
XP_054714294.1	XP_054714294.1
XP_054714615.1	XP_054714615.1
XP_054714915.1	XP_054714915.1
XP_054714953.1	XP_054714953.1
XP_054714954.1	XP_054714954.1
XP_054722292.1	XP_054722292.1
XP_054722719.1	XP_054722719.1
XP_054723914.1	XP_054723914.1
XP_054730046.1	XP_054730046.1
XP_054731203.1	XP_054731203.1
XP_054731205.1	XP_054731205.1
XP_054731392.1	XP_054731392.1
XP_054731394.1	XP_054731394.1
XP_054733720.1	XP_054733720.1
XP_054747414.1	XP_054747414.1
XP_054748592.1	XP_054748592.1
XP_054752013.2	XP_054752013.2
XP_054756542.2	XP_054756542.2
XP_054784088.1	XP_054784088.1
XP_054798933.1	XP_054798933.1
XP_054798936.1	XP_054798936.1
XP_054798939.1	XP_054798939.1
XP_054806402.1	XP_054806402.1
XP_054806404.1	XP_054806404.1
XP_054806405.1	XP_054806405.1
XP_054815389.1	XP_054815389.1
XP_054815390.1	XP_054815390.1
XP_054836030.1	XP_054836030.1
XP_054836032.1	XP_054836032.1
XP_054836033.1	XP_054836033.1
XP_054841145.1	XP_054841145.1
XP_054841146.1	XP_054841146.1
XP_054842443.1	XP_054842443.1
XP_054842758.1	XP_054842758.1
XP_054842759.1	XP_054842759.1
XP_054847994.1	XP_054847994.1
XP_054856625.1	XP_054856625.1
XP_054857347.1	XP_054857347.1
XP_054867133.1	XP_054867133.1
XP_054867136.1	XP_054867136.1
XP_054867137.1	XP_054867137.1
XP_054867138.1	XP_054867138.1
XP_054867139.1	XP_054867139.1
XP_054874111.1	XP_054874111.1
XP_054893006.1	XP_054893006.1
XP_054893890.1	XP_054893890.1
XP_054893891.1	XP_054893891.1
XP_054895394.1	XP_054895394.1
XP_054898200.1	XP_054898200.1
XP_054904859.1	XP_054904859.1
XP_054911032.1	XP_054911032.1
XP_054911040.1	XP_054911040.1
XP_054911830.1	XP_054911830.1
XP_054913538.1	XP_054913538.1
XP_054917629.1	XP_054917629.1
XP_054917630.1	XP_054917630.1
XP_054929106.2	XP_054929106.2
XP_054931353.1	XP_054931353.1
XP_054931354.1	XP_054931354.1
XP_054935002.1	XP_054935002.1
XP_054935003.1	XP_054935003.1
XP_054938119.1	XP_054938119.1
XP_054942611.1	XP_054942611.1
XP_054948554.1	XP_054948554.1
XP_054948829.2	XP_054948829.2
XP_054948837.2	XP_054948837.2
XP_054950390.1	XP_054950390.1
XP_054968251.1	XP_054968251.1
XP_054976512.1	XP_054976512.1
XP_054976518.1	XP_054976518.1
XP_054983160.1	XP_054983160.1
XP_054983176.1	XP_054983176.1
XP_054996684.1	XP_054996684.1
XP_054996685.1	XP_054996685.1
XP_054996686.1	XP_054996686.1
XP_054996687.1	XP_054996687.1
XP_054996688.1	XP_054996688.1
XP_054996689.1	XP_054996689.1
XP_054996690.1	XP_054996690.1
XP_054996692.1	XP_054996692.1
XP_054996693.1	XP_054996693.1
XP_054996694.1	XP_054996694.1
XP_054998210.1	XP_054998210.1
XP_054998242.1	XP_054998242.1
XP_054998246.1	XP_054998246.1
XP_054998252.1	XP_054998252.1
XP_054998262.1	XP_054998262.1
XP_055001481.1	XP_055001481.1
XP_055001483.1	XP_055001483.1
XP_055001484.1	XP_055001484.1
XP_055003337.1	XP_055003337.1
XP_055003642.1	XP_055003642.1
XP_055006795.1	XP_055006795.1
XP_055010830.1	XP_055010830.1
XP_055013604.1	XP_055013604.1
XP_055019105.1	XP_055019105.1
XP_055019106.1	XP_055019106.1
XP_055021302.1	XP_055021302.1
XP_055021396.1	XP_055021396.1
XP_055032102.1	XP_055032102.1
XP_055032363.2	XP_055032363.2
XP_055045307.2	XP_055045307.2
XP_055061884.2	XP_055061884.2
XP_055065424.2	XP_055065424.2
XP_055074979.2	XP_055074979.2
XP_055074980.2	XP_055074980.2
XP_055080089.1	XP_055080089.1
XP_055081113.1	XP_055081113.1
XP_055087864.1	XP_055087864.1
XP_055087865.1	XP_055087865.1
XP_055089229.1	XP_055089229.1
XP_055089230.1	XP_055089230.1
XP_055089231.1	XP_055089231.1
XP_055089232.1	XP_055089232.1
XP_055089233.1	XP_055089233.1
XP_055089234.1	XP_055089234.1
XP_055089235.1	XP_055089235.1
XP_055089237.1	XP_055089237.1
XP_055089238.1	XP_055089238.1
XP_055089240.1	XP_055089240.1
XP_055091191.1	XP_055091191.1
XP_055091193.1	XP_055091193.1
XP_055091194.1	XP_055091194.1
XP_055091195.1	XP_055091195.1
XP_055091196.1	XP_055091196.1
XP_055091197.1	XP_055091197.1
XP_055091198.1	XP_055091198.1
XP_055091199.1	XP_055091199.1
XP_055091200.1	XP_055091200.1
XP_055101599.1	XP_055101599.1
XP_055101600.1	XP_055101600.1
XP_055128044.1	XP_055128044.1
XP_055128048.1	XP_055128048.1
XP_055128049.1	XP_055128049.1
XP_055131011.1	XP_055131011.1
XP_055144663.1	XP_055144663.1
XP_055145009.1	XP_055145009.1
XP_055153520.1	XP_055153520.1
XP_055153521.1	XP_055153521.1
XP_055153522.1	XP_055153522.1
XP_055153523.1	XP_055153523.1
XP_055153524.1	XP_055153524.1
XP_055153525.1	XP_055153525.1
XP_055163889.1	XP_055163889.1
XP_055163890.1	XP_055163890.1
XP_055167791.1	XP_055167791.1
XP_055167801.1	XP_055167801.1
XP_055168045.1	XP_055168045.1
XP_055168050.1	XP_055168050.1
XP_055188172.1	XP_055188172.1
XP_055190470.1	XP_055190470.1
XP_055197565.1	XP_055197565.1
XP_055197706.1	XP_055197706.1
XP_055197708.1	XP_055197708.1
XP_055197709.1	XP_055197709.1
XP_055197710.1	XP_055197710.1
XP_055197711.1	XP_055197711.1
XP_055197712.1	XP_055197712.1
XP_055197713.1	XP_055197713.1
XP_055197714.1	XP_055197714.1
XP_055197716.1	XP_055197716.1
XP_055204726.2	XP_055204726.2
XP_055204762.2	XP_055204762.2
XP_055204764.2	XP_055204764.2
XP_055204786.2	XP_055204786.2
XP_055204792.2	XP_055204792.2
XP_055204803.2	XP_055204803.2
XP_055204804.2	XP_055204804.2
XP_055204805.2	XP_055204805.2
XP_055204826.2	XP_055204826.2
XP_055204846.2	XP_055204846.2
XP_055204854.2	XP_055204854.2
XP_055206675.1	XP_055206675.1
XP_055206677.1	XP_055206677.1
XP_055208364.1	XP_055208364.1
XP_055210290.2	XP_055210290.2
XP_055221982.1	XP_055221982.1
XP_055257358.1	XP_055257358.1
XP_055268787.1	XP_055268787.1
XP_055271720.1	XP_055271720.1
XP_055278257.1	XP_055278257.1
XP_055278258.1	XP_055278258.1
XP_055283380.1	XP_055283380.1
XP_055283385.1	XP_055283385.1
XP_055283386.1	XP_055283386.1
XP_055283387.1	XP_055283387.1
XP_055286006.1	XP_055286006.1
XP_055292225.1	XP_055292225.1
XP_055292227.1	XP_055292227.1
XP_055292228.1	XP_055292228.1
XP_055297756.1	XP_055297756.1
XP_055308241.1	XP_055308241.1
XP_055314063.1	XP_055314063.1
XP_055317715.1	XP_055317715.1
XP_055326807.1	XP_055326807.1
XP_055326808.1	XP_055326808.1
XP_055326809.1	XP_055326809.1
XP_055326810.1	XP_055326810.1
XP_055326966.1	XP_055326966.1
XP_055326972.1	XP_055326972.1
XP_055327857.1	XP_055327857.1
XP_055337826.1	XP_055337826.1
XP_055337881.1	XP_055337881.1
XP_055337892.1	XP_055337892.1
XP_055341516.1	XP_055341516.1
XP_055341519.1	XP_055341519.1
XP_055341520.1	XP_055341520.1
XP_055341521.1	XP_055341521.1
XP_055341523.1	XP_055341523.1
XP_055343349.1	XP_055343349.1
XP_055352385.1	XP_055352385.1
XP_055352458.1	XP_055352458.1
XP_055356209.1	XP_055356209.1
XP_055370923.1	XP_055370923.1
XP_055372893.1	XP_055372893.1
XP_055378125.1	XP_055378125.1
XP_055378126.1	XP_055378126.1
XP_055379872.1	XP_055379872.1
XP_055399982.1	XP_055399982.1
XP_055399983.1	XP_055399983.1
XP_055410291.1	XP_055410291.1
XP_055410295.1	XP_055410295.1
XP_055410464.1	XP_055410464.1
XP_055410465.1	XP_055410465.1
XP_055434946.1	XP_055434946.1
XP_055434948.1	XP_055434948.1
XP_055434949.1	XP_055434949.1
XP_055434950.1	XP_055434950.1
XP_055434951.1	XP_055434951.1
XP_055441866.1	XP_055441866.1
XP_055453930.1	XP_055453930.1
XP_055469870.1	XP_055469870.1
XP_055475161.1	XP_055475161.1
XP_055475162.1	XP_055475162.1
XP_055477181.1	XP_055477181.1
XP_055477182.1	XP_055477182.1
XP_055477183.1	XP_055477183.1
XP_055477185.1	XP_055477185.1
XP_055484681.1	XP_055484681.1
XP_055484682.1	XP_055484682.1
XP_055484683.1	XP_055484683.1
XP_055484684.1	XP_055484684.1
XP_055484685.1	XP_055484685.1
XP_055484686.1	XP_055484686.1
XP_055484687.1	XP_055484687.1
XP_055484688.1	XP_055484688.1
XP_055485135.1	XP_055485135.1
XP_055485138.1	XP_055485138.1
XP_055485139.1	XP_055485139.1
XP_055485285.1	XP_055485285.1
XP_055485286.1	XP_055485286.1
XP_055487627.1	XP_055487627.1
XP_055487634.1	XP_055487634.1
XP_055487641.1	XP_055487641.1
XP_055488906.1	XP_055488906.1
XP_055497716.1	XP_055497716.1
XP_055497719.1	XP_055497719.1
XP_055497720.1	XP_055497720.1
XP_055504381.1	XP_055504381.1
XP_055513235.1	XP_055513235.1
XP_055515152.1	XP_055515152.1
XP_055515160.1	XP_055515160.1
XP_055515168.1	XP_055515168.1
XP_055515178.1	XP_055515178.1
XP_055520969.1	XP_055520969.1
XP_055520974.1	XP_055520974.1
XP_055531327.1	XP_055531327.1
XP_055541142.1	XP_055541142.1
XP_055541581.1	XP_055541581.1
XP_055548485.1	XP_055548485.1
XP_055549163.1	XP_055549163.1
XP_055554189.1	XP_055554189.1
XP_055554370.1	XP_055554370.1
XP_055554372.1	XP_055554372.1
XP_055554373.1	XP_055554373.1
XP_055555155.1	XP_055555155.1
XP_055555158.1	XP_055555158.1
XP_055563007.1	XP_055563007.1
XP_055580609.1	XP_055580609.1
XP_055605909.1	XP_055605909.1
XP_055606068.1	XP_055606068.1
XP_055606178.1	XP_055606178.1
XP_055612000.1	XP_055612000.1
XP_055612006.1	XP_055612006.1
XP_055620964.1	XP_055620964.1
XP_055636780.1	XP_055636780.1
XP_055636807.1	XP_055636807.1
XP_055636811.1	XP_055636811.1
XP_055640736.1	XP_055640736.1
XP_055640741.1	XP_055640741.1
XP_055646253.1	XP_055646253.1
XP_055646255.1	XP_055646255.1
XP_055646256.1	XP_055646256.1
XP_055649059.1	XP_055649059.1
XP_055659775.1	XP_055659775.1
XP_055670818.1	XP_055670818.1
XP_055670820.1	XP_055670820.1
XP_055670821.1	XP_055670821.1
XP_055676654.1	XP_055676654.1
XP_055687812.1	XP_055687812.1
XP_055690819.1	XP_055690819.1
XP_055690845.1	XP_055690845.1
XP_055693737.1	XP_055693737.1
XP_055693738.1	XP_055693738.1
XP_055695201.1	XP_055695201.1
XP_055699093.1	XP_055699093.1
XP_055703072.1	XP_055703072.1
XP_055705758.1	XP_055705758.1
XP_055705759.1	XP_055705759.1
XP_055713117.1	XP_055713117.1
XP_055716857.1	XP_055716857.1
XP_055717662.1	XP_055717662.1
XP_055717664.1	XP_055717664.1
XP_055717666.1	XP_055717666.1
XP_055717667.1	XP_055717667.1
XP_055717668.1	XP_055717668.1
XP_055717669.1	XP_055717669.1
XP_055732933.1	XP_055732933.1
XP_055732934.1	XP_055732934.1
XP_055737262.1	XP_055737262.1
XP_055749736.1	XP_055749736.1
XP_055749737.1	XP_055749737.1
XP_055749738.1	XP_055749738.1
XP_055755834.1	XP_055755834.1
XP_055776574.1	XP_055776574.1
XP_055777492.1	XP_055777492.1
XP_055779186.1	XP_055779186.1
XP_055779187.1	XP_055779187.1
XP_055779188.1	XP_055779188.1
XP_055779189.1	XP_055779189.1
XP_055779340.1	XP_055779340.1
XP_055779342.1	XP_055779342.1
XP_055780466.1	XP_055780466.1
XP_055789465.1	XP_055789465.1
XP_055795539.1	XP_055795539.1
XP_055795540.1	XP_055795540.1
XP_055807393.1	XP_055807393.1
XP_055813850.1	XP_055813850.1
XP_055813861.1	XP_055813861.1
XP_055817347.1	XP_055817347.1
XP_055831544.1	XP_055831544.1
XP_055835804.1	XP_055835804.1
XP_055835806.1	XP_055835806.1
XP_055835807.1	XP_055835807.1
XP_055835808.1	XP_055835808.1
XP_055841779.1	XP_055841779.1
XP_055843063.1	XP_055843063.1
XP_055844912.1	XP_055844912.1
XP_055851128.1	XP_055851128.1
XP_055854203.1	XP_055854203.1
XP_055854204.1	XP_055854204.1
XP_055859642.1	XP_055859642.1
XP_055860704.1	XP_055860704.1
XP_055886581.1	XP_055886581.1
XP_055886589.1	XP_055886589.1
XP_055886590.1	XP_055886590.1
XP_055886591.1	XP_055886591.1
XP_055891971.1	XP_055891971.1
XP_055902645.1	XP_055902645.1
XP_055905143.1	XP_055905143.1
XP_055909668.1	XP_055909668.1
XP_055911320.1	XP_055911320.1
XP_055911321.1	XP_055911321.1
XP_055911322.1	XP_055911322.1
XP_055911950.1	XP_055911950.1
XP_055929315.1	XP_055929315.1
XP_055931794.1	XP_055931794.1
XP_055935142.1	XP_055935142.1
XP_055935810.1	XP_055935810.1
XP_055943450.1	XP_055943450.1
XP_055947198.1	XP_055947198.1
XP_055947200.1	XP_055947200.1
XP_055947894.1	XP_055947894.1
XP_055950439.1	XP_055950439.1
XP_055950440.1	XP_055950440.1
XP_055950441.1	XP_055950441.1
